dir-name,additional_features,train/mae,train/mape,train/mse,train/rmse,train/acc,train/smooth_l1,val/mae,val/mape,val/mse,val/rmse,val/acc,val/smooth_l1,test/mae,test/mape,test/mse,test/rmse,test/acc,test/smooth_l1,note
BTC,log_return+momentum_stoch_rsi+trend_dpo,568.6470337,0.024145927,947943.9375,932.0988159,0.541440189,568.3974609,377.4253845,0.015848013,323808.0938,560.6784668,0.5282197,377.1760559,1075.454956,0.019569432,2401557.5,1520.16333,0.605871201,1075.204956,
ETH,log_return+momentum_stoch+gas_used,42.15556717,0.032945365,5962.527344,73.04902649,0.553215563,41.90843201,31.08076286,0.019568013,2172.23584,45.70201111,0.553977251,30.83167839,63.069664,0.022321656,8536.535156,90.89537811,0.602651536,62.81976318,
