dir-name,additional_features,test/loss,test/q0.05_cover,test/q0.05_mae,test/q0.05_diff,test/q0.05_diff_raw,test/q0.2_cover,test/q0.2_mae,test/q0.2_diff,test/q0.2_diff_raw,test/q0.4_cover,test/q0.4_mae,test/q0.4_diff,test/q0.4_diff_raw,test/q0.6_cover,test/q0.6_mae,test/q0.6_diff,test/q0.6_diff_raw,val/loss,val/q0.05_cover,val/q0.05_mae,val/q0.05_diff,val/q0.05_diff_raw,val/q0.2_cover,val/q0.2_mae,val/q0.2_diff,val/q0.2_diff_raw,val/q0.4_cover,val/q0.4_mae,val/q0.4_diff,val/q0.4_diff_raw,val/q0.6_cover,val/q0.6_mae,val/q0.6_diff,val/q0.6_diff_raw,train/loss,train/q0.05_cover,train/q0.05_mae,train/q0.05_diff,train/q0.05_diff_raw,train/q0.2_cover,train/q0.2_mae,train/q0.2_diff,train/q0.2_diff_raw,train/q0.4_cover,train/q0.4_mae,train/q0.4_diff,train/q0.4_diff_raw,train/q0.6_cover,train/q0.6_mae,train/q0.6_diff,train/q0.6_diff_raw,note,penalty_stop_raw,penalty_dca_raw,norm_loss,norm_stop,norm_dca,final_score
BTC,Open+High+Close+log_return_low+wd_angle,0.022483008,0.060227275,0.037292693,0.010227275,0.010227275,0.222916663,0.01810482,0.022916663,0.022916663,0.394696981,0.013906791,0.005303019,-0.005303019,0.577272713,0.013617342,0.022727287,-0.022727287,0.017979413,0.071401514,0.029080559,0.021401514,0.021401514,0.223106056,0.014179129,0.023106056,0.023106056,0.38560608,0.010430921,0.01439392,-0.01439392,0.614015162,0.010534687,0.014015162,0.014015162,0.029025208,0.073369563,0.044636741,0.023369563,0.023369563,0.228713766,0.022321243,0.028713766,0.028713766,0.431612313,0.017325245,0.031612313,0.031612313,0.588541627,0.017349811,0.011458373,-0.011458373,BASELINE,0.02045455,0.017834597,0.060909032,0.212264187,0.253851001,0.160039488
ETH,Open+High+Close+log_return_low+next_is_weekend,0.027240837,0.073863633,0.043808714,0.023863633,0.023863633,0.250568181,0.021270737,0.050568181,0.050568181,0.430871218,0.016545711,0.030871218,0.030871218,0.590530336,0.01650572,0.009469664,-0.009469664,0.022787012,0.066287883,0.039113645,0.016287883,0.206628799,0.01798244,0.006628799,0.454734832,0.013029112,0.054734832,0.591856062,0.01346656,0.008143938,0.038299836,0.064085148,0.062921971,0.014085148,0.237092391,0.03052762,0.037092391,0.429574251,0.022857575,0.029574251,0.574275374,0.022665108,0.025724626,BASELINE,0.047727266,0.018308065,0,0.082417483,0.254149711,0.083796935,,,,,,,,
