dir-name,additional_features,train/mae,train/mape,train/mse,train/rmse,train/acc,train/smooth_l1,val/mae,val/mape,val/mse,val/rmse,val/acc,val/smooth_l1,test/mae,test/mape,test/mse,test/rmse,test/acc,test/smooth_l1
BTC,vol_current+bitbo_sharpe_ratio+day_of_year+vol_weekend,517.4724731,0.023106037,735585.8125,830.0893555,0.616394937,517.2225952,407.8931885,0.017121011,358900.2188,586.3312988,0.608522713,407.6431885,1021.324402,0.018613994,2109030.5,1423.728516,0.636931837,1021.074402
ETH,vol_current+bitbo_sharpe_ratio+day_of_year+vol_weekend,40.78800583,0.033531617,5729.755371,71.88767242,0.580842376,40.54082108,32.00217056,0.020329762,2235.407959,46.30727005,0.561174273,31.75356483,58.8258934,0.020966293,7652.246582,83.41382599,0.642234862,58.57738876
DOGE,vol_current+bitbo_sharpe_ratio+day_of_year+vol_weekend,0.003651232,0.108059935,0.000111412,0.008545172,0.5647645,0.000111412,0.002397476,0.029854335,1.66E-05,0.003864606,0.582575738,1.66E-05,0.00423034,0.03441621,4.11E-05,0.006308328,0.551515162,4.11E-05
XRP,vol_current+bitbo_sharpe_ratio+day_of_year+vol_weekend,0.018611424,0.033959355,0.001285508,0.032761179,0.551856875,0.001285508,0.012910172,0.026351146,0.000692873,0.022779284,0.573863626,0.000692873,0.012766063,0.02242513,0.000358381,0.018468939,0.566477239,0.000358381
SOL,vol_current+bitbo_sharpe_ratio+day_of_year+vol_weekend,2.216952562,0.047226153,11.99305534,3.375570536,0.603878498,1.997449636,0.809901834,0.040063765,1.691915631,1.229237199,0.574431837,0.608709753,4.672286987,0.040736187,39.08631134,6.201431274,0.542613626,4.427872181
