dir-name,additional_features,train/mae,train/mape,train/mse,train/rmse,train/acc,train/smooth_l1,val/mae,val/mape,val/mse,val/rmse,val/acc,val/smooth_l1,test/mae,test/mape,test/mse,test/rmse,test/acc,test/smooth_l1,note
ETH,log_return+momentum_stoch,42.40826035,0.032898225,5964.282715,73.09130096,0.548460126,42.16126251,31.31392097,0.01979333,2165.733398,45.71255875,0.5564394,31.06631279,62.82557678,0.022245886,8586.623047,90.92523956,0.59375,62.57573318,
BTC,log_return+momentum_stoch_rsi,570.4888306,0.024218334,953723.0625,933.5904541,0.563179374,570.2390137,379.350769,0.015932484,327962.125,565.2982788,0.550946951,379.1013794,1075.12854,0.019567247,2450783,1534.356689,0.585795462,1074.87854,BASELINE
