Date,Open,High,Low,Close,Volume,Marketcap,
2025-08-31,108818.4611,109490.9995,108104.6558,108236.7099,47986191770,2155310000000 ,
2025-08-30,108409.405,108929.3487,107444.4432,108808.0717,51486264208,2167010000000 ,
2025-08-29,112550.5201,112619.053,107559.6243,108410.8381,77843379644,2158810000000 ,
2025-08-28,111219.0512,113450.0765,110900.9244,112544.802,58860155962,2241210000000 ,
2025-08-27,111795.7083,112619.4155,110398.2625,111222.0607,62137056409,2214650000000 ,
2025-08-26,110124.1054,112397.013,108762.0356,111802.6556,69396320317,2226080000000 ,
2025-08-25,113456.8947,113637.8419,109324.2802,110124.3509,85706860190,2192740000000 ,
2025-08-24,115387.3913,115615.084,111060.5449,113458.4322,73961489632,2259050000000 ,
2025-08-23,116866.3678,116996.2532,114536.1083,115374.3312,55377142586,2297430000000 ,
2025-08-22,112433.7308,117377.3987,111678.9486,116874.0875,82528088240,2326820000000 ,
2025-08-21,114275.6841,114802.6496,111986.2347,112419.0275,57817883700,2238520000000 ,
2025-08-20,112828.0214,114625.7961,112387.962,114274.7408,67993811526,2275140000000 ,
2025-08-19,116241.8565,116764.4963,112730.3987,112831.176,71657600353,2246260000000 ,
2025-08-18,117453.9064,117614.1712,114723.6824,116252.3119,72787808090,2314180000000 ,
2025-08-17,117492.7886,118595.7763,117279.521,117453.0627,45852169525,2338250000000 ,
2025-08-16,117398.4231,117996.0633,117271.9524,117491.3484,48036922378,2338970000000 ,
2025-08-15,118365.7844,119332.3118,116864.5735,117398.348,68665353159,2337040000000 ,
2025-08-14,123339.3954,124457.1169,117254.8826,118359.5806,1.04E+11,2356240000000 ,
2025-08-13,120168.9777,123682.4534,118939.6313,123344.0598,90904808795,2455190000000 ,
2025-08-12,118717.6624,120302.4707,118228.7222,120172.9071,72803657984,2392000000000 ,
2025-08-11,119306.8108,122321.0974,118159.0285,118731.447,90528784177,2363080000000 ,
2025-08-10,116497.7166,119320.7141,116485.166,119306.7614,64755458694,2374750000000 ,
2025-08-09,116678.2757,117906.6118,116363.8352,116500.3621,54004312429,2318790000000 ,
