,Timestamp,High,Low,Open,Close,Volume
0,1537142400,224.26,195.31,221.58,197.88,2019910000.0
1,1537228800,213.36,195.93,197.1,209.98,1800640000.0
2,1537315200,213.87,201.66,209.47,209.97,1733330000.0
3,1537401600,224.82,207.79,210.29,224.59,1782070000.0
4,1537488000,248.39,221.57,225.25,246.58,2836200000.0
5,1537574400,251.2,233.81,247.34,240.48,1921820000.0
6,1537660800,247.46,237.86,240.99,244.33,1693470000.0
7,1537747200,245.11,227.49,244.84,228.73,1748740000.0
8,1537833600,228.33,206.49,228.33,218.51,2120360000.0
9,1537920000,221.44,209.11,218.65,215.85,1756100000.0
10,1538006400,230.61,212.65,215.44,228.49,2030320000.0
11,1538092800,231.75,218.67,229.04,222.4,2018120000.0
12,1538179200,234.01,216.08,221.71,231.63,2208720000.0
13,1538265600,236.99,228.45,231.33,232.85,1765560000.0
14,1538352000,234.15,226.95,233.22,230.77,1597500000.0
15,1538438400,231.17,225.84,231.1,227.18,1542080000.0
16,1538524800,226.46,213.97,226.41,220.49,1683930000.0
17,1538611200,226.15,220.09,220.45,222.22,1479500000.0
18,1538697600,228.32,220.96,222.27,227.6,1547330000.0
19,1538784000,227.93,224.25,227.55,225.12,1505070000.0
20,1538870400,226.37,223.0,225.43,226.12,1470480000.0
21,1538956800,230.76,224.56,226.51,229.26,1470740000.0
22,1539043200,230.16,226.4,229.71,227.98,1405130000.0
23,1539129600,227.71,224.49,227.62,225.77,1384040000.0
24,1539216000,225.61,189.28,225.61,189.5,2167620000.0
25,1539302400,199.4,188.71,188.71,196.73,1487900000.0
26,1539388800,201.28,196.36,196.36,199.84,1167610000.0
27,1539475200,201.83,195.24,199.69,195.71,1169260000.0
28,1539561600,222.12,194.16,195.27,209.7,2865830000.0
29,1539648000,212.17,207.98,209.63,210.12,1532280000.0
30,1539734400,211.13,205.93,210.22,207.08,1444130000.0
31,1539820800,208.47,201.74,207.4,203.35,1365860000.0
32,1539907200,204.66,201.84,203.26,203.73,1264480000.0
33,1539993600,206.22,203.09,203.51,205.43,1238780000.0
34,1540080000,208.15,204.62,205.39,205.14,1190300000.0
35,1540166400,206.93,203.38,205.17,204.04,1328980000.0
36,1540252800,205.15,201.91,204.02,204.34,1237490000.0
37,1540339200,205.58,203.35,204.13,203.85,1102220000.0
38,1540425600,204.13,201.82,203.87,202.72,1102900000.0
39,1540512000,204.78,201.55,202.34,203.33,1161310000.0
40,1540598400,206.08,203.13,203.36,204.21,1084810000.0
41,1540684800,205.92,203.52,204.51,205.37,1139140000.0
42,1540771200,205.6,195.73,205.17,197.25,1517230000.0
43,1540857600,198.12,196.35,197.2,197.56,1363500000.0
44,1540944000,198.34,196.53,197.65,197.38,1442380000.0
45,1541030400,203.75,197.33,197.54,198.87,1336700000.0
46,1541116800,201.27,198.76,198.98,200.63,1451870000.0
47,1541203200,200.74,199.52,200.74,200.19,1307150000.0
48,1541289600,211.27,198.99,200.16,207.49,1749300000.0
49,1541376000,210.82,206.57,207.1,209.09,1613510000.0
50,1541462400,218.45,207.89,209.47,218.45,1856940000.0
51,1541548800,221.65,216.8,218.9,217.18,1927830000.0
52,1541635200,218.34,212.2,217.33,212.23,1769080000.0
53,1541721600,213.32,209.51,211.99,210.07,1554750000.0
54,1541808000,213.86,209.8,209.98,212.53,1377760000.0
55,1541894400,213.0,208.87,212.48,211.34,1501600000.0
56,1541980800,212.62,208.92,211.51,210.42,1452380000.0
57,1542067200,210.51,206.13,210.15,206.83,1610260000.0
58,1542153600,207.04,174.08,206.53,181.4,2595330000.0
59,1542240000,184.25,170.19,181.9,180.81,2638410000.0
60,1542326400,181.35,173.13,180.87,175.18,2015330000.0
61,1542412800,175.85,172.87,175.36,174.0,1832800000.0
62,1542499200,179.15,174.18,174.18,177.07,1810920000.0
63,1542585600,177.18,147.85,177.18,149.18,2745160000.0
64,1542672000,151.25,126.36,148.81,130.34,3134410000.0
65,1542758400,138.89,125.76,131.14,136.7,2685930000.0
66,1542844800,137.74,126.71,136.81,126.71,1792150000.0
67,1542931200,127.03,119.56,126.42,123.3,1998010000.0
68,1543017600,126.79,110.82,123.3,113.49,1800960000.0
69,1543104000,118.88,101.77,113.13,116.45,2466750000.0
70,1543190400,118.2,104.89,116.34,108.33,2139490000.0
71,1543276800,111.84,102.45,107.91,110.01,2320010000.0
72,1543363200,126.05,110.2,110.2,122.44,2673470000.0
73,1543449600,123.23,115.3,122.72,117.54,2196099151.0
74,1543536000,119.42,111.74,117.73,113.17,2020748396.0
75,1543622400,120.84,111.62,113.4,118.64,2131475768.0
76,1543708800,120.56,116.09,118.27,116.39,1856199149.0
77,1543795200,116.62,107.42,116.38,108.93,1772756193.0
78,1543881600,113.14,107.4,108.8,110.21,1748116495.0
79,1543968000,110.6,102.48,110.34,102.48,1990157607.0
80,1544054400,104.1,91.76,102.45,91.76,2310716932.0
81,1544140800,96.09,83.47,91.65,93.29,2554304530.0
82,1544227200,97.06,86.83,93.41,92.16,1855759401.0
83,1544313600,98.9,91.03,92.04,95.14,1875567180.0
84,1544400000,96.26,90.65,94.99,91.69,1756437577.0
85,1544486400,92.78,87.69,91.58,88.95,1707497898.0
86,1544572800,92.24,88.26,88.61,90.59,1533050103.0
87,1544659200,91.11,85.52,90.66,86.54,1754475622.0
88,1544745600,87.14,83.23,86.63,84.31,1651491877.0
89,1544832000,85.34,82.83,84.28,84.44,1496176898.0
90,1544918400,87.57,84.47,84.47,85.26,1565817037.0
91,1545004800,96.81,85.38,85.38,95.13,2101453024.0
92,1545091200,101.32,92.97,95.11,101.11,2277514076.0
93,1545177600,108.55,100.69,101.68,101.27,2456482115.0
94,1545264000,117.17,100.64,101.09,116.22,3063842618.0
95,1545350400,119.09,107.58,115.84,109.5,2632539990.0
96,1545436800,116.76,107.5,109.46,116.76,2338772939.0
97,1545523200,133.08,117.27,117.27,130.77,3579715061.0
98,1545609600,157.67,130.64,130.64,140.24,4370343387.0
99,1545696000,141.0,125.11,141.0,129.84,3298280609.0
100,1545782400,136.68,126.29,129.89,131.87,2720469126.0
101,1545868800,132.68,115.65,131.92,116.58,2612804378.0
102,1545955200,137.65,115.69,116.9,137.65,3130201009.0
103,1546041600,147.03,134.57,138.47,138.02,3169029972.0
104,1546128000,140.69,133.98,137.63,139.86,2660086834.0
105,1546214400,140.18,132.52,140.03,133.37,2358360234.0
106,1546300800,141.4,132.65,133.42,140.82,2258709868.0
107,1546387200,156.93,140.65,141.52,155.05,3328240369.0
108,1546473600,155.86,147.2,155.2,149.14,2676164880.0
109,1546560000,156.88,147.91,148.91,154.58,3126192535.0
110,1546646400,160.82,154.34,154.34,155.64,3338211928.0
111,1546732800,159.37,152.09,155.8,157.75,3231294371.0
112,1546819200,158.45,151.15,157.81,151.7,2712108388.0
113,1546905600,153.63,148.67,151.97,150.36,2459808140.0
114,1546992000,153.62,150.29,150.55,150.8,2369241197.0
115,1547078400,152.15,126.53,150.84,128.63,3397734456.0
116,1547164800,130.17,125.24,127.81,127.55,2667585234.0
117,1547251200,128.67,125.45,127.53,125.97,2212109224.0
118,1547337600,126.27,116.09,125.91,116.9,2268263944.0
119,1547424000,130.86,116.97,116.98,129.07,2798085735.0
120,1547510400,130.74,120.31,129.17,122.03,2735449164.0
121,1547596800,127.12,121.44,121.81,123.55,2746469340.0
122,1547683200,124.27,120.82,123.57,123.74,2594091285.0
